,Open,High,Low,Close,open,high,low,close,RSI,MACD,MACD_signal,ATR,STOCH_K,STOCH_D,BB_upper,BB_middle,BB_lower,momentum,volatility,return_1,return_2,return_3,return_5,return_10
2018-12-04,21.199,21.392,21.196,21.337,,,,,,,,,,,,,,,,,,,,
2018-12-05,21.34,21.379,21.213,21.214,,,,,,,,,,,,,,,,,,,,
2018-12-06,21.212,21.299,21.159,21.241,,,,,,,,,,,,,,,,,,,,
2018-12-07,21.234,21.302,21.169,21.264,,,,,,,,,,,,,,,,,,,,
2018-12-10,21.219,21.323,21.19,21.226,,,,,,,,,,,,,,,,,,,,
2018-12-11,21.222,21.333,21.176,21.176,,,,,,,,,,,,,,,,,,,,
2018-12-12,21.175,21.304,21.059,21.059,,,,,,,,,,,,,,,,,,,,
2018-12-13,21.033,21.239,21.0,21.109,,,,,,,,,,,,,,,,,,,,
2018-12-14,21.094,21.15,20.929,20.998,,,,,,,,,,,,,,,,,,,,
2018-12-17,20.98,21.042,20.921,20.931,,,,,,,,,,,,,,,,,,,,
2018-12-18,20.928,21.186,20.928,21.051,,,,,,,,,,,,,,,,,,,,
2018-12-19,21.049,21.193,20.884,20.884,,,,,,,,,,,,,,,,,,,,
2018-12-20,20.888,20.939,20.722,20.812,,,,,,,,,,,,,,,,,,,,
2018-12-21,20.817,20.929,20.642,20.683,,,,,,,,,,,,,,,,,,,,
2018-12-24,20.715,20.831,20.695,20.787,,,,,,,,,,,,,,,,,,,,
2018-12-25,20.787,20.799,20.729,20.743,,,,,,,,,,,,,,,,,,,,
2018-12-26,20.749,20.816,20.694,20.761,,,,,,,,,,,,,,,,,,,,
2018-12-27,20.768,20.793,20.609,20.638,,,,,,,,,,,,,,,,,,,,
2018-12-28,20.628,20.674,20.445,20.515,,,,,,,,,,,,,,,,,,,,
2018-12-31,20.53,20.575,20.458,20.565,,,,,,,,,,,,,,,,,,,,
2019-01-01,20.554,20.571,20.524,20.526,,,,,,,,,,,,,,,,,,,,
2019-01-02,20.522,20.704,20.473,20.495,,,,,,,,,,,,,,,,,,,,
2019-01-03,20.388,20.721,20.351,20.65,,,,,,,,,,,,,,,,,,,,
2019-01-04,20.658,20.809,20.616,20.75,,,,,,,,,,,,,,,,,,,,
2019-01-07,20.79,20.862,20.743,20.838,,,,,,,,,,,,,,,,,,,,
2019-01-08,20.838,20.858,20.711,20.756,,,,,,,,,,,,,,,,,,,,
2019-01-09,20.747,20.966,20.728,20.883,,,,,,,,,,,,,,,,,,,,
2019-01-10,20.881,20.949,20.854,20.896,,,,,,,,,,,,,,,,,,,,
2019-01-11,20.896,21.075,20.884,21.039,,,,,,,,,,,,,,,,,,,,
