,Open,High,Low,Close
2023-03-30,4.4416,4.4442,4.4139,4.4376
2023-03-31,4.4403,4.4529,4.4321,4.4526
2023-04-03,4.4526,4.4594,4.4345,4.4378
2023-04-04,4.44,4.4481,4.4335,4.4355
2023-04-05,4.4351,4.4514,4.4306,4.447
2023-04-06,4.4461,4.4523,4.4343,4.4444
2023-04-07,4.4392,4.4424,4.4295,4.4329
2023-04-10,4.433,4.4415,4.4295,4.4373
2023-04-11,4.4348,4.4386,4.4251,4.4355
2023-04-12,4.4343,4.4458,4.4265,4.4414
2023-04-13,4.438,4.4484,4.4325,4.4412
2023-04-14,4.4412,4.4562,4.4397,4.4448
2023-04-17,4.4486,4.4506,4.4325,4.4455
2023-04-18,4.4488,4.449,4.4359,4.4416
2023-04-19,4.4427,4.4515,4.4335,4.4493
2023-04-20,4.4439,4.4572,4.4409,4.4552
2023-04-21,4.4536,4.4536,4.4458,4.4499
2023-04-24,4.4513,4.4538,4.4403,4.4518
2023-04-25,4.4519,4.4542,4.4368,4.4375
2023-04-26,4.4278,4.4451,4.4278,4.4402
2023-04-27,4.4405,4.4498,4.4288,4.4296
2023-04-28,4.431,4.4583,4.4309,4.454
2023-05-01,4.4566,4.4632,4.4546,4.4623
2023-05-02,4.4529,4.4669,4.4525,4.4625
2023-05-03,4.4612,4.4612,4.4406,4.4526
2023-05-04,4.447,4.4545,4.4389,4.4511
2023-05-05,4.4414,4.4455,4.4313,4.4313
2023-05-08,4.4342,4.4469,4.4339,4.4421
2023-05-09,4.4401,4.4484,4.4325,4.4457
2023-05-10,4.4424,4.4446,4.4299,4.4313
2023-05-11,4.4259,4.4401,4.4259,4.4354
2023-05-12,4.4304,4.4378,4.4256,4.4357
2023-05-15,4.4345,4.4418,4.4228,4.4362
2023-05-16,4.4271,4.4371,4.4218,4.4247
2023-05-17,4.4178,4.4276,4.3979,4.4064
2023-05-18,4.4043,4.4043,4.3729,4.3729
2023-05-19,4.3688,4.3753,4.3581,4.3704
2023-05-22,4.378,4.378,4.3617,4.3619
2023-05-23,4.3657,4.3756,4.3523,4.3733
2023-05-24,4.3646,4.3801,4.3599,4.3711
2023-05-25,4.3711,4.3717,4.3517,4.3517
2023-05-26,4.3517,4.3661,4.3483,4.349
2023-05-29,4.3518,4.3518,4.3312,4.3332
2023-05-30,4.3343,4.3359,4.3171,4.3238
2023-05-31,4.3279,4.3392,4.3168,4.3252
2023-06-01,4.3156,4.3381,4.3156,4.3263
2023-06-02,4.3184,4.3473,4.3174,4.3358
2023-06-05,4.3301,4.3323,4.3116,4.3279
2023-06-06,4.3217,4.3291,4.3091,4.3175
2023-06-07,4.3262,4.3262,4.3092,4.3186
2023-06-08,4.3159,4.3258,4.3069,4.3234
2023-06-09,4.3225,4.3248,4.3116,4.3151
2023-06-12,4.3077,4.3223,4.3041,4.3098
2023-06-13,4.311,4.3121,4.2708,4.2803
2023-06-14,4.281,4.3076,4.281,4.2991
2023-06-15,4.2946,4.3137,4.2803,4.3127
2023-06-16,4.3079,4.3271,4.3026,4.3127
2023-06-19,4.3079,4.3163,4.3013,4.3056
2023-06-20,4.3106,4.3236,4.2981,4.3129
2023-06-21,4.3164,4.32,4.2964,4.3116
2023-06-22,4.3137,4.3252,4.3137,4.3237
2023-06-23,4.3238,4.3398,4.3212,4.3231
2023-06-26,4.3199,4.3199,4.2864,4.2901
2023-06-27,4.2901,4.3125,4.2901,4.2999
2023-06-28,4.2959,4.3151,4.2774,4.2871
2023-06-29,4.2946,4.3037,4.2868,4.2908
2023-06-30,4.298,4.3028,4.2898,4.3009
2023-07-03,4.301,4.304,4.2947,4.2999
2023-07-04,4.3051,4.3194,4.2987,4.3171
2023-07-05,4.3137,4.3188,4.3021,4.3124
2023-07-06,4.3146,4.3338,4.3071,4.3217
2023-07-07,4.3266,4.3358,4.3195,4.3327
2023-07-10,4.3361,4.3485,4.3341,4.3421
2023-07-11,4.3406,4.3582,4.3401,4.3475
2023-07-12,4.3433,4.3598,4.3429,4.3482
2023-07-13,4.337,4.348,4.3195,4.3318
2023-07-14,4.3346,4.3413,4.3158,4.34
2023-07-17,4.3405,4.3405,4.3208,4.3208
2023-07-18,4.3298,4.3298,4.3196,4.3266
2023-07-19,4.3233,4.3307,4.309,4.3129
2023-07-20,4.3024,4.3492,4.3016,4.3425
2023-07-21,4.3313,4.3718,4.3311,4.3641
2023-07-24,4.3659,4.3728,4.3558,4.3659
2023-07-25,4.3621,4.3975,4.3621,4.387
2023-07-26,4.3858,4.3858,4.3651,4.3751
2023-07-27,4.3686,4.3846,4.366,4.3661
2023-07-28,4.3658,4.4037,4.3658,4.3887
2023-07-31,4.394,4.4121,4.394,4.4021
2023-08-01,4.4021,4.419,4.3943,4.4064
2023-08-02,4.4018,4.4157,4.3994,4.4035
2023-08-03,4.4035,4.4267,4.4035,4.4249
2023-08-04,4.4219,4.4284,4.4111,4.4211
2023-08-07,4.4214,4.4254,4.4015,4.4139
2023-08-08,4.4139,4.4231,4.4033,4.4173
