,Open,High,Low,Close,open,high,low,close,RSI,MACD,MACD_signal,ATR,STOCH_K,STOCH_D,BB_upper,BB_middle,BB_lower,momentum,volatility,return_1,return_2,return_3,return_5,return_10
2016-02-24,23.142,23.256,23.142,23.234,,,,,,,,,,,,,,,,,,,,
2016-02-25,23.36,23.36,23.278,23.353,,,,,,,,,,,,,,,,,,,,
2016-02-26,23.966,24.06,23.621,23.674,,,,,,,,,,,,,,,,,,,,
2016-02-29,23.093,23.093,23.018,23.124,,,,,,,,,,,,,,,,,,,,
2016-03-01,23.267,23.322,23.224,23.12,,,,,,,,,,,,,,,,,,,,
2016-03-02,23.427,23.454,23.427,23.224,,,,,,,,,,,,,,,,,,,,
2016-03-03,23.347,23.584,23.347,23.36,,,,,,,,,,,,,,,,,,,,
2016-03-04,24.16,24.324,24.009,24.164,,,,,,,,,,,,,,,,,,,,
2016-03-07,23.529,23.767,23.529,23.561,,,,,,,,,,,,,,,,,,,,
2016-03-08,23.733,23.914,23.733,23.711,,,,,,,,,,,,,,,,,,,,
2016-03-09,23.823,23.932,23.823,23.914,,,,,,,,,,,,,,,,,,,,
2016-03-10,23.37,23.847,23.37,23.932,,,,,,,,,,,,,,,,,,,,
2016-03-11,24.522,24.742,24.44,24.729,,,,,,,,,,,,,,,,,,,,
2016-03-14,23.809,23.84,23.809,23.876,,,,,,,,,,,,,,,,,,,,
2016-03-15,23.852,23.852,23.776,23.84,,,,,,,,,,,,,,,,,,,,
2016-03-16,24.049,24.049,23.999,23.839,,,,,,,,,,,,,,,,,,,,
2016-03-17,24.12,24.12,23.97,24.091,,,,,,,,,,,,,,,,,,,,
2016-03-18,24.729,24.862,24.482,24.536,,,,,,,,,,,,,,,,,,,,
2016-03-21,23.926,23.966,23.926,23.941,,,,,,,,,,,,,,,,,,,,
2016-03-22,24.087,24.087,23.954,24.04,,,,,,,,,,,,,,,,,,,,
2016-03-23,23.695,23.716,23.695,23.954,,,,,,,,,,,,,,,,,,,,
2016-03-24,23.706,23.771,23.706,23.716,,,,,,,,,,,,,,,,,,,,
2016-03-25,24.447,24.562,24.372,24.415,,,,,,,,,,,,,,,,,,,,
2016-03-28,23.767,23.834,23.767,23.706,,,,,,,,,,,,,,,,,,,,
2016-03-29,24.029,24.07,24.029,23.834,,,,,,,,,,,,,,,,,,,,
2016-03-30,24.064,24.064,24.064,24.052,,,,,,,,,,,,,,,,,,,,
2016-03-31,23.993,24.034,23.993,24.064,,,,,,,,,,,,,,,,,,,,
2016-04-01,24.597,24.841,24.489,24.769,,,,,,,,,,,,,,,,,,,,
2016-04-04,23.828,23.828,23.781,23.954,,,,,,,,,,,,,,,,,,,,
2016-04-05,23.746,23.812,23.746,23.781,,,,,,,,,,,,,,,,,,,,
2016-04-06,23.781,23.819,23.781,23.901,,,,,,,,,,,,,,,,,,,,
2016-04-07,23.771,23.771,23.771,23.668,,,,,,,,,,,,,,,,,,,,
2016-04-08,24.321,24.539,24.321,24.482,,,,,,,,,,,,,,,,,,,,
2016-04-11,23.87,24.074,23.87,23.841,,,,,,,,,,,,,,,,,,,,
2016-04-12,24.218,24.218,24.106,24.074,,,,,,,,,,,,,,,,,,,,
2016-04-13,24.134,24.243,24.134,24.106,,,,,,,,,,,,,,,,,,,,
2016-04-14,24.225,24.257,24.225,24.243,,,,,,,,,,,,,,,,,,,,
2016-04-15,24.884,24.958,24.823,24.957,,,,,,,,,,,,,,,,,,,,
2016-04-18,24.468,24.468,24.368,24.267,,,,,,,,,,,,,,,,,,,,
2016-04-19,24.327,24.453,24.327,24.368,,,,,,,,,,,,,,,,,,,,
2016-04-20,24.552,24.552,24.491,24.453,,,,,,,,,,,,,,,,,,,,
2016-04-21,24.35,24.35,24.35,24.355,,,,,,,,,,,,,,,,,,,,
2016-04-22,24.949,25.05,24.851,24.909,,,,,,,,,,,,,,,,,,,,
2016-04-25,24.25,24.321,24.25,24.276,,,,,,,,,,,,,,,,,,,,
